id;ubigeo_colegio_dpto;ubigeo_colegio_prov;ubigeo_colegio_dist;pais_colegio;fecha_egreso_colegio;sexo;fecha_nacimiento;especialidad_de_postulacion;fecha_postulacion;modalidad;ubigeo_direccion_dpto;ubigeo_direccion_prov;ubigeo_direccion_dist;pais_nacimiento;ubigeo_nacimiento_dpto;ubigeo_nacimiento_prov;ubigeo_nacimiento_dist;calificacion_final_postulante;estado_admitido
4baf546a7123391b7228cf8136602763;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2016;M;2000;INGENIERIA ELECTRICA;2018;EXTRAORDINARIO1 DOS PRIMEROS ALUMNOS;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;LIMA;LIMA;SAN JUAN DE LURIGANCHO;11.808;SI
1f1a3fc9dcf40d689ea5312b92bdeb57;PASCO;PASCO;CHAUPIMARCA;PERU;2014;M;1998;INGENIERIA ELECTRICA;2018;ORDINARIO;LIMA;LIMA;ATE;PERU;JUNIN;TARMA;TARMA;7.759;NO
0bfa93de257244ce912d10a3cf614a2d;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2016;M;2000;INGENIERIA MECATRONICA;2018;ORDINARIO;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;LIMA;LIMA;SAN JUAN DE LURIGANCHO;6.374;NO
936a6295d3d2e99df7b72d8f7cbdf136;LIMA;LIMA;LOS OLIVOS;PERU;2016;M;2000;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;LOS OLIVOS;PERU;LIMA;LIMA;LOS OLIVOS;10.096;NO
20007a1a1bd6d3a6b2b0b46da21055b3;LIMA;LIMA;LURIGANCHO;PERU;2015;M;1999;INGENIERIA GEOLOGICA;2018;ORDINARIO;LIMA;LIMA;LURIGANCHO;PERU;LIMA;LIMA;LURIGANCHO;4.807;NO
0be00a5259118a8b4ea9b81f73c7fef0;LIMA;LIMA;PUENTE PIEDRA;PERU;2016;M;2000;INGENIERIA NAVAL;2018;ORDINARIO;LIMA;LIMA;PUENTE PIEDRA;PERU;JUNIN;JAUJA;JAUJA;4.315;NO
47b68b372634e19886b82ede81538e3c;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2016;M;2000;INGENIERIA MECANICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;LIMA;LIMA;LIMA;8.995;NO
b4ae73bf9b0639943dfdc0590f3daaa2;LIMA;LIMA;LOS OLIVOS;PERU;2017;F;2001;ARQUITECTURA;2018;ORDINARIO;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;LIMA;LIMA;SAN MARTIN DE PORRES;7.202;NO
d274d8a8a48d02c12a3c2f9dd3580545;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2017;M;2000;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;LIMA;LIMA;LIMA;7.207;NO
bd6fb84c654fa42cf5e63ce56dbe6d34;LIMA;LIMA;ATE;PERU;2007;M;1990;INGENIERIA CIVIL;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;LIMA;PERU;JUNIN;HUANCAYO;CHILCA;12.279;NO
015a8929278a00c00144f79439f1a300;LIMA;LIMA;ATE;PERU;2013;M;1997;INGENIERIA ELECTRONICA;2018;ORDINARIO;LIMA;LIMA;ATE;PERU;HUANCAVELICA;HUANCAVELICA;PALCA;8.271;NO
8ac519924cc3cac389f637425e4cc2bf;LIMA;LIMA;LA VICTORIA;PERU;2015;M;1999;INGENIERIAiNDUSTRIAL;2018;ORDINARIO;LIMA;LIMA;LA VICTORIA;PERU;LIMA;LIMA;EL AGUSTINO;8.654;NO
24a885a413efd229258fb66083496ac0;LIMA;LIMA;ATE;PERU;2013;M;1997;INGENIERIA QUIMICA;2018;ORDINARIO;LIMA;LIMA;ATE;PERU;LIMA;LIMA;ATE;8.645;NO
42dd5ae0666af0bcbdaaac74749d566e;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2012;F;1996;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;LIMA;LIMA;LIMA;12.597;NO
2fa0ba20a72ea6effb1246181f041583;LAMBAYEQUE;CHICLAYO;CHICLAYO;PERU;2017;M;2001;INGENIERIA GEOLOGICA;2018;ORDINARIO;LIMA;LIMA;JESUS MARIA;PERU;CUSCO;URUBAMBA;URUBAMBA;7.958;NO
07e723b6faaee03f6d4e217ac0d6a935;LIMA;LIMA;COMAS;PERU;2014;M;1999;INGENIERIA GEOLOGICA;2018;ORDINARIO;LIMA;LIMA;LOS OLIVOS;PERU;LIMA;LIMA;JESUS MARIA;7.37;NO
1b199d9a0fea9a87018795dc1a2594a9;LIMA;LIMA;RIMAC;PERU;2017;M;2001;INGENIERIA NAVAL;2018;ORDINARIO;LIMA;LIMA;RIMAC;PERU;LIMA;LIMA;SAN MARTIN DE PORRES;4.242;NO
c39e5efb87f48bffa37405fede786fe4;LIMA;LIMA;MIRAFLORES;PERU;2017;M;2001;INGENIERIA MECANICA;2018;ORDINARIO;LIMA;LIMA;MIRAFLORES;PERU;AREQUIPA;AREQUIPA;AREQUIPA;4.635;NO
437a872518efed89a34517a3794a067c;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;PERU;2017;M;2001;INGENIERIA ELECTRONICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;LURIN;PERU;LIMA;LIMA;MIRAFLORES;9.164;NO
06295de777baf3b404d9796d72bede23;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;PERU;2015;M;1998;INGENIERIA DE SISTEMAS;2018;ORDINARIO;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;PERU;LIMA;LIMA;PUEBLO LIBRE;10.283;NO
a31000cd7093d98f5ea973afc3ba72b1;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;PERU;2016;M;2000;INGENIERIA MECANICA;2018;ORDINARIO;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;PERU;LIMA;LIMA;JESUS MARIA;13.808;SI
5ada2df8eaa71960ace963465bd76990;LIMA;LIMA;ATE;PERU;2012;M;1996;INGENIERIAiNDUSTRIAL;2018;ORDINARIO;LIMA;LIMA;ATE;PERU;LIMA;LIMA;ATE;4.786;NO
432674f0f4ae3ef529934e06461139b5;CALLAO;PROV. CONST. DEL CALLAO;LA PERLA;PERU;2017;M;2000;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;CARABAYLLO;PERU;LIMA;LIMA;LIMA;16.226;SI
515286b501ef4cbe5ee8d9c7faa7b1f5;LIMA;LIMA;VILLA EL SALVADOR;PERU;2012;M;1996;INGENIERIA QUIMICA;2018;ORDINARIO;LIMA;LIMA;VILLA EL SALVADOR;PERU;LIMA;LIMA;VILLA EL SALVADOR;5.898;NO
b9100aaad17292b11a0d7741c22234d0;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2015;M;1999;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;LIMA;PERU;LIMA;LIMA;LIMA;11.736;NO
6c1a8f0d5c4ba35263a3ad4642e23f09;LIMA;LIMA;CARABAYLLO;PERU;2015;M;1997;INGENIERIA NAVAL;2018;ORDINARIO;LIMA;LIMA;CARABAYLLO;PERU;LIMA;LIMA;COMAS;12.901;SI
bb2e61aecd2e110665c770f323702a3b;LIMA;OYON;PACHANGARA;PERU;2017;F;2000;INGENIERIA CIVIL;2018;EXTRAORDINARIO1 DOS PRIMEROS ALUMNOS;LIMA;OYON;PACHANGARA;PERU;LIMA;OYON;PACHANGARA;2.918;NO
5aeae81e7d59faa3df991ddf21be779e;LIMA;LIMA;LOS OLIVOS;PERU;2012;M;1995;INGENIERIA DE MINAS;2018;ORDINARIO;LIMA;LIMA;BRENA;PERU;LIMA;LIMA;LIMA;12.64;SI
7f0eb8ed35dcced159337abd40808406;LIMA;LIMA;ATE;PERU;2014;M;1997;INGENIERIA DE MINAS;2018;ORDINARIO;LIMA;LIMA;ATE;PERU;LIMA;LIMA;LIMA;2.323;NO
1d9164ef7a77e71a49bae96032b37842;LIMA;LIMA;COMAS;PERU;2016;M;2000;INGENIERIA ELECTRONICA;2018;ORDINARIO;LIMA;LIMA;COMAS;PERU;LIMA;LIMA;COMAS;4.3;NO
879412463914c3a9a9c6c8cab22267b4;LIMA;LIMA;CHORRILLOS;PERU;2013;M;1997;INGENIERIA MECANICA;2018;ORDINARIO;LIMA;LIMA;CHORRILLOS;PERU;LIMA;LIMA;SAN JUAN DE MIRAFLORES;0.162;NO
c289146326585210dfbacd10b8031072;LIMA;LIMA;COMAS;PERU;2017;M;2001;INGENIERIA FISICA;2018;ORDINARIO;LIMA;LIMA;CARABAYLLO;PERU;LIMA;LIMA;COMAS;5.95;NO
0662d563a968cd87feb37eed17c439ea;CALLAO;PROV. CONST. DEL CALLAO;BELLAVISTA;PERU;2011;F;1994;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;LIMA;CANETE;SAN LUIS;4.711;NO
f1fb06c16f77b5f7db78828afb3d78c7;LIMA;LIMA;SANTA ANITA;PERU;2011;M;1994;INGENIERIA MECANICA-ELECTRICA;2018;ORDINARIO;LIMA;LIMA;SANTA ANITA;PERU;LIMA;LIMA;EL AGUSTINO;7.477;NO
